id,observateur,participant,date,time,lieu,phase,ligne,col,mot,couleur,rep,timeRep,err,condition
782,,gdfg,2021-03-23,12:18:44,,Pretest1,1,1,VERT,NOIR,V,5489,0,X
783,,gdfg,2021-03-23,12:18:45,,Pretest1,1,2,ROUGE,NOIR,R,599,0,X
784,,gdfg,2021-03-23,12:18:46,,Pretest1,1,3,JAUNE,NOIR,J,1125,0,X
785,,gdfg,2021-03-23,12:18:47,,Pretest1,1,4,VERT,NOIR,V,1470,0,X
786,,gdfg,2021-03-23,12:18:48,,Pretest1,1,5,BLEU,NOIR,B,1260,0,X
787,,gdfg,2021-03-23,12:18:54,,Test1,1,1,VERT,NOIR,E,3321,1,X
788,,gdfg,2021-03-23,12:18:55,,Test1,1,2,JAUNE,NOIR,E,210,1,X
789,,gdfg,2021-03-23,12:18:55,,Test1,1,3,ROUGE,NOIR,E,195,1,X
790,,gdfg,2021-03-23,12:18:55,,Test1,1,4,BLEU,NOIR,E,210,1,X
791,,gdfg,2021-03-23,12:18:55,,Test1,1,5,JAUNE,NOIR,E,195,1,X
792,,gdfg,2021-03-23,12:18:57,,Test1,2,1,VERT,NOIR,E,819,1,X
793,,gdfg,2021-03-23,12:18:57,,Test1,2,2,ROUGE,NOIR,E,223,1,X
794,,gdfg,2021-03-23,12:18:57,,Test1,2,3,BLEU,NOIR,E,180,1,X
795,,gdfg,2021-03-23,12:18:57,,Test1,2,4,VERT,NOIR,E,228,1,X
796,,gdfg,2021-03-23,12:18:57,,Test1,2,5,BLEU,NOIR,E,177,1,X
797,,gdfg,2021-03-23,12:18:58,,Test1,3,1,ROUGE,NOIR,E,307,1,X
798,,gdfg,2021-03-23,12:18:58,,Test1,3,2,JAUNE,NOIR,E,210,1,X
799,,gdfg,2021-03-23,12:18:58,,Test1,3,3,BLEU,NOIR,E,195,1,X
800,,gdfg,2021-03-23,12:18:59,,Test1,3,4,VERT,NOIR,E,195,1,X
801,,gdfg,2021-03-23,12:18:59,,Test1,3,5,ROUGE,NOIR,E,195,1,X
802,,gdfg,2021-03-23,12:19:00,,Test1,4,1,JAUNE,NOIR,E,276,1,X
803,,gdfg,2021-03-23,12:19:00,,Test1,4,2,JAUNE,NOIR,E,240,1,X
804,,gdfg,2021-03-23,12:19:00,,Test1,4,3,VERT,NOIR,E,195,1,X
805,,gdfg,2021-03-23,12:19:00,,Test1,4,4,BLEU,NOIR,E,195,1,X
806,,gdfg,2021-03-23,12:19:00,,Test1,4,5,ROUGE,NOIR,E,195,1,X
